Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,trimaculatus,Three-spot Dascyllus,Both,12,6.024,"Algae, copepods and planktonic crustaceans","Herbivore, Invertivore",Coral and rocky reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=5112&what=species&TotRec=12
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,auripinnis,Orangefin Dascyllus,Both,10,4.613,Unknown,"Herbivore, Invertivore",Coral and rocky reefs,Benthic,https://www.fishbase.se/photos/UploadedBy.php?autoctr=18837&win=uploaded
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,aruanus,Whitetail Dascyllus,Both,4.7,2.185,"Algae, zooplankton and invertebrates","Herbivore, Invertivore",Lagoons and subtidal reef flats,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5110&what=species&TotRec=10
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,melanurus,Black-tailed Dascyllus,Both,4.8,2.326,"Zooplankton, invertebrates",Invertivore,"Lagoons, harbours, inlets",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5111&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,carneus,Indian Dascyllus,Both,5.112,2.794,Plankton,Invertivore,Inshore and offshore reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=7798&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Dascyllus,reticulatus,Reticulated Dascyllus,Both,5.6,2.831,"Algae, invertebrates","Herbivore, Invertivore",Lagoons and seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=5113&what=species&TotRec=12
Actinopterygii,Centrarchiformes,Cirrhitidae,Cyprinocirrhites,polyactis,Swallowtail hawkfish,Both,6.4,1.79,"Crustaceans, planktons",Invertivore,"Steep slopes, coral outcroppings",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=7764&what=species&TotRec=10
Actinopterygii,Eupercaria,Labridae,Cymolutes,praetextatus,Knife razorfish,Both,12.1,2.47,Invertebrates,Invertivore,"Weedy aread near reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5607&what=species&TotRec=8
Actinopterygii,Eupercaria,Labridae,Cymolutes,torquatus,Finescale razorfish,Both,8.1,1.77,Invertebrates,Invertivore,"Sand bottoms near reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5608&what=species&TotRec=3
Actinopterygii,Perciformes ,Acanthuridae,Ctenochaetus,striatus,Striated surgeonfish,Both,16.4,5.93,"Algae, invertebrates","Herbivore, invertivore","Reefl flats, lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?need2save=&tosave=&TRPP=1&id=1262&what=species&personnel=&user_session=&lme=&StartRow=4&TotRec=9&SortBy=iucn
