Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,hutomoi,Hutomo's anthias,M,10.4,2.74,Planktons,Invertivore,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=59192&what=species
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,hutomoi,Hutomo's anthias,F,NA,NA,Planktons,Invertivore,Coastal reefs,Benthic,
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,olivaceus,Olive anthias,M,7.9,1.86,Planktons,Invertivore,Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=46510&what=species&TotRec=4
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,olivaceus,Olive anthias,F,NA,NA,Planktons,Invertivore,Seaward reefs,Benthic,
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,cooperi,Red-bar anthias,M,13.7,3.02,Planktons,Invertivore,"Outer reefs, dropoffs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=13006&what=species&TotRec=9
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,cooperi,Red-bar anthias,F,9.3,2.65,Planktons,Invertivore,"Outer reefs, dropoffs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=13006&what=species&TotRec=9
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,rubrizonatus,Red-belted anthias,M,7,2.01,Planktons,Invertivore,"Coastal, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7321&what=species&TotRec=8
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,rubrizonatus,Red-belted anthias,F,7.5,2.06,Planktons,Invertivore,"Coastal, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=7321&what=species
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,parvirostris,Sunset anthias,M,8.3,1.88,Planktons,Invertivore,"Patch reefs, coral outcroppings",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=25682&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,parvirostris,Sunset anthias,F,5.3,1.22,Planktons,Invertivore,"Patch reefs, coral outcroppings",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=25682&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,lori,Lori's anthias,Both,5.6,1.01,"Crustacean larvae, fish eggs",Invertivore,"Steep outer reef slopes, dropoffs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7456&what=species&TotRec=4
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,flavoguttatus,Yellow-spotted anthias,Both,NA,NA,Planktons,Invertivore,"Outer reef slopes, dropoffs",Benthic,
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,smithvanizi,Princess anthias,M,9.1,1.89,Planktons,Invertivore,Steep outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7460&what=species&TotRec=6
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,smithvanizi,Princess anthias,F,5.8,1.28,Planktons,Invertivore,Steep outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7460&what=species&TotRec=6
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,fasciatus,One-stripe anthias,Both,16.2,4.23,Planktons,Invertivore,"Deep outer reefs, steep slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=10632&what=species&TotRec=6
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,pictilis,Painted anthias,M,11.6,3.08,Planktons,Invertivore,Seaward reef slopes,Midwater,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=12691&what=species&TotRec=6
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,thompsoni,Hawaiian anthias,Both,18.1,4.38,Zooplankton,Invertivore,"Coral outcrops, escarpments",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=7783&what=species&TotRec=8
Actinopterygii,Pecriformes,Serranidae,Pseudanthias,pictilis,Painted anthias,F,10.7,2.6,Planktons,Invertivore,Seaward reef slopes,Midwater,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=12691&what=species&TotRec=6
Actinopterygii,Carangaria,Latidae,Psammoperca,waigiensis,Waigieu seaperch,Both,23.6,6.42,"Fishes, crustaceans","Invertivore, piscivore","Rocky or coral reefs, weedy areas",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=8212&what=species&TotRec=5
Actinopterygii,Perciformes,Pomacentridae,Pristotis,obtusirostris,Gulf Damsel,Both,12.4,3.936,"Algae, zooplankton, crustaceans","Herbivore, Invertivore",Coral and rock outcropping,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=8127&what=species&TotRec=5
Actinopterygii,Eupercaria,Priacanthidae,Priacanthus,blochii,Paeony bulleye,Both,18.8,5.43,Unknown,Unknown,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=9903&what=species&TotRec=4
Actinopterygii,Eupercaria,Priacanthidae,Priacanthus,hamrur,Moontail bullseye,Both,25.9,7.21,"Small fish, crustaceans, invertebrates","Invertivore, piscivore","Lagoons, outer reef slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=5791&what=species&TotRec=13
Actinopterygii,Eupercaria,Priacanthidae,Priacanthus,meeki,Hawaiian bigeye,Both,28.4,8.58,Unknown,Unknown,"Lagoons, seaward reefs",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?ID=7787&what=species
Actinopterygii,Perciformes,Pomacentridae,Premnas,biaculeatus,Spinecheek Anemonefish,Both,9.4,3.703,"Zooplankton, Algae","Herbivore, Invertivore","Lagoons, Reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=5&ID=6632&what=species&TotRec=7
Actinopterygii,Perciformes ,Pomacanthidae,Pomocanthus,xanthometopon,Yellowface angelfish,,,,,"Herbivore, invertivore",,Benthic,
Actinopterygii,Perciformes,Pomacentridae,Pomachromis,guamensis,Guam Reef-Damsel,Both,5.5,1.506,Zooplankton,Invertivore,Exposed seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=5732&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomachromis,richardsoni,Richardson's Reef-Damsel,Both,6.6,2.121,Unknown,Invertivore,Exposed reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=6923&what=species&TotRec=4
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,alleni,Allen's Chromis,Both,8.9,3.443,Zooplankton,Invertivore,Coral and rocky reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=11852&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,colini,Colin's Damsel,Both,9,3.454,Unknown,Herbivore,Lagoons and inshore reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12487&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,amboinensis,Ambon Damsel,Both,5.8,2.262,"Algae, zooplankton","Herbivore, Invertivore","Lagoons, coastal reefs, passages and outer reef slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5715&what=species&TotRec=9
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,spilotoceps,Spotted Cheek Damsel,Both,8,3.124,Unknown,Herbivore,Shallow reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=61075&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,albimaculus,Whitespot Damsel,Both,9,3.43,Algae,Herbivore,"Inshore reefs, rocky outcrops",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=10247&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,komodoensis,Komodo Damsel,Both,8,3.202,Unknown,Herbivore,Surge affected shallows,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=61082&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,opisthostigma,Brown Damsel,Both,8,3.833,Unknown,Herbivore,Turbid shores with coral,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=10277&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,burroughi,Burrough's Damsel,Both,7.6,3.093,Algae,Herbivore,Lagoons and coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5719&what=species&TotRec=4
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,proteus,Colombo Damsel,Both,10,4.121,Unknown,Herbivore,Silty coral or rubble reefs,Benthic,https://www.fishbase.se/summary/Pomacentrus-proteus.html
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,milleri,Miller's Damsel,Both,5.2,1.778,"Algae, zooplankton","Herbivore, Invertivore",Inshore reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12496&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,armillatus,Borneo Damsel,Both,9,3.764,Algae,Herbivore,Silty reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=25210&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,polyspinus,Thai Damsel,Both,3,0.929,Unknown,Herbivore,Inshore and lagoon coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12498&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,pavo,Blue Damsel,Both,9.7,3.015,Zooplankton,Invertivore,Sandy areas of lagoon reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5726&what=species&TotRec=7
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis,Neon Damsel,Both,6,1.928,Zooplankton,Invertivore,Lagoons and seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5720&what=species&TotRec=4
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,alleni,Andaman Damsel,Both,2.746,0.934,Zooplankton,Invertivore,Rubble and dead reef areas,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=12479&what=species&TotRec=2
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,similis,Similar Damsel,Both,4.971,1.793,Unknown,Unknown,"Rocky outcroppings, sand and silt areas",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=12500&what=species&TotRec=2
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,auriventris,Goldbelly Damsel,Both,3.7,1.348,Unknown,Unknown,Rubble slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=12483&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,limosus,Muddy Damsel,Both,7,2.403,Unknown,Unknown,Coastal and offshore reefs,Benthic,"Pomacentrus limosus, Muddy damsel (fishbase.se)"
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,australis,Australian Damsel,Both,6.6,2.346,Algae,Herbivore,Coral rocky outcroppings,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=10252&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,azuremaculatus,Blue-spotted Damsel,Both,6.354,2.616,Unknown,Unknown,Offshore coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=12484&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,reidi,Reed's Damsel,Both,9.7,4.012,"Algae, zooplankton","Herbivore, Invertivore",Outer reef slopes and deep lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5728&what=species&TotRec=5
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,geminospilus,Twin-spot Damsel,Both,7.5,2.74,Unknown,Unknown,"Shoreline reefs, lagoons, coral and rock outcroppings",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=25216&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,vaiuli,Princess Damsel,Both,5.3,1.972,"Algae, small invertebrates","Herbivore, Invertivore",Lagoons and outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5730&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,adelus,Obscure Damsel,Both,8.5,3.006,Unknown,Unknown,Inshore and outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=12476&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,javanicus,Java Damsel,Both,8,3.324,Unknown,Unknown,Silted reefs of lagoons and outer slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12491&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,stigma,Black-spot Damsel,Both,9.7,3.836,"Algae, zooplankton","Herbivore, Invertivore","Shoreline, lagoons and outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=12501&what=species&TotRec=7
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,bankanensis,Speckled Damsel,Both,4.1,1.578,"Algae, copepods, isopods and pelagic tunicates","Herbivore, Invertivore","Shoreline, lagoon and outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5717&what=species&TotRec=8
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,saksonoi,Saksono's Damsel,Both,9,3.72,Unknown,Unknown,Silty coral reefs,Benthic,"Pomacentrus saksonoi, Anton's damsel (fishbase.se)"
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,chrysurus,Whitetail Damsel,Both,6.9,2.859,Algae,Herbivore,Shoreline reefs and lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5721&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,nigromarginatus,Black-margined Damsel,Both,6.9,2.697,"Algae, zooplankton","Herbivore, Invertivore",Steep outer reef slops,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=6621&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,philippinus,Philippine Damsel,Both,4.8,1.745,"Algae, zooplankton","Herbivore, Invertivore",Passages and outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5727&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,lepidogenys,Scaly Damsel,Both,7.9,3.135,Zooplankton,Invertivore,"Shoreline, lagoons and outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=6620&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,nigromanus,Goldback Damsel,Both,8.1,2.971,"Planktonic crustaceans, fish eggs, algae, and small invertebrates","Herbivore, Invertivore",Lagoons and outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5725&what=species&TotRec=3
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,imitator,Imitator Damsel,Both,8.673,3.326,Unknown,Unknown,Outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=12489&what=species&TotRec=2
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,nagasakiensis,Nagasaki Damsel,Both,5.7,2.069,Zooplankton,Invertivore,Rock outcropping,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5716&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,cuneatus,Wedgespot Damsel,Both,9,3.562,Unknown,Unknown,Shoreline reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12488&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,grammorhynchus,Bluespot Damsel,Both,9,3.805,Algae,Herbivore,Shoreline and lagoon reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5723&what=species&TotRec=4
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,brachialus,Charcoal Damsel,Both,7.9,3.292,"Algae, zooplankton",Herbivore,Passages and outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5718&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,alexanderae,Alexander's Damsel,Both,9.4,3.957,"Algae, barnacle nauplii, copepods, fish eggs, and small gastropods","Herbivore, Invertivore","Shoreline, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6920&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,moluccensis,Lemon Damsel,Both,6.9,2.954,"Algae, planktonic crustaceans","Herbivore, Invertivore","Shoreline, lagoons and outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5724&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,simsiang,Blueback Damsel,Both,8.4,3.531,Algae,Herbivore,Silty shoreline reefs and lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=5729&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,taeniomepoton,Brackish Damsel,Both,4.3,1.78,Algae,Herbivore,Mangroves and lower reaches of freshwater streams,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=10280&what=species&TotRec=2
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,littoralis,Smoky Damsel,Both,10,4.022,Algae,Herbivore,Silty shoreline reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12493&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,wardi,Ward's Damsel,Both,8.507,3.195,Algae,Herbivore,Coastal and offshore reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=10281&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,melanochir,Indonesian Damsel,Both,4.6,1.739,Zooplankton,Invertivore,Shoreline reefs on rubble slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=12495&what=species
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,tripunctatus,Threespot Damsel,Both,7.976,3.422,Algae,Herbivore,Shoreline reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=8277&what=species&TotRec=5
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,smithi,Smith's Damsel,Both,6.4,2.389,"Algae, zooplankton","Herbivore, Invertivore",Silty coastal reefs and lagoons,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=10279&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,aurifrons,Goldhead Damsel,Both,7,1.893,Zooplankton,Invertivore,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=61536&what=species
Actinopterygii,Perciformes ,Pomacanthidae,Pomacanthus,sexstriatus,Sixbar angelfish,,,,,"Herbivore, invertivore",,Benthic,
Actinopterygii,Carangaria,Polynemidae,Polydactylus,sexfilis,Sixfinger threadfin,Both,27.31,5.93,"Crustaceans, polychaete worms, invertebrates",Invertivore,"Sand, mudflats, mangrooves",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=6416&what=species&TotRec=9
Actinopterygii,Pecriformes,Serranidae,Pogonoperca,punctata,Spotted soapfish,Both,22.6,7.67,NA,NA,Outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=5&ID=12727&what=species&TotRec=8
Actinopterygii,Perciformes ,Haemulidae,Plectrorhinchus,vittatus,Oriental sweetlips,,,,,"Piscivore, Invertivore",,Benthopelagic,
Actinopterygii,Pecriformes,Serranidae,Plectropomus,albovittatus,Highfin coralgrouper,Both,29.5,7.24,"Fishes, crustaceans","Invertivore, piscivore",Steep slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7319&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Plectropomus,oligacanthus,Highfin coralgrouper,Both,29.5,7.24,"Fishes, crustaceans","Invertivore, piscivore",Steep slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7319&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Plectropomus,maculatus,Spotted coralgrouper,Both,7.9,2.09,"Fishes, crustaceans","Invertivore, piscivore",Silty coastal reefs,Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=4886&what=species&TotRec=5
Actinopterygii,Pecriformes,Serranidae,Plectropomus,leopardus,Leopard coralgrouper ,Both,26.5,6.37,"Fishes, crustaceans, squid","Invertivore, piscivore","Coastal, lagoon reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=4826&what=species&TotRec=8
Actinopterygii,Pecriformes,Serranidae,Plectropomus,laevis,Blacksaddled coralgrouper,Both,81.4,21.05,"Fishes, crustaceans","Invertivore, piscivore","Lagoons, seaward reefs",Pelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=7372&what=species&TotRec=10
Actinopterygii,Pecriformes,Serranidae,Plectropomus,areolatus,Squaretail coralgrouper,Both,45.2,12.13,Fishes,Piscivore,"Coastal reefs, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=6082&what=species&TotRec=6
Actinopterygii,Pecriformes,Serranidae,Plectropomus,pessuliferus,Roving coralgrouper,Both,50.06,12.75,NA,Piscivore,"Coastal, platforms, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7430&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Plectropomus,punctatus,Marbled coralgrouper,Both,53.4,14.73,Fishes,Piscivore,,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7373&what=species&TotRec=7
Actinopterygii,Perciformes ,Pomacentridae,Plectroglyphiododon,luteobrunneus,,,,,,Herbivore,,Benthic,
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,johnstonianus,Johnston Island Damsel,Both,8.237,4.199,Algae and coral polyps,"Herbivore, Corallivore",Outer reef slopes and passages,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5711&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,phoenixensis,Phoenix Damsel,Both,7,2.942,Algae,Herbivore,Seaward reef margins,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=5714&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,dickii,Blackbear Damsel,Both,9.34,4.425,"Algae, invertebrates, small fishes","Herbivore, Invertivore, Piscivore",Lagoons and seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=5&ID=5709&what=species&TotRec=9
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,imparipennis,Brighteye Damsel,Both,5.8,2.283,"Algae, invertebrates","Herbivore, Invertivore",Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5710&what=species&TotRec=6
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,lacrymatus,Jewel Damsel,Both,5.2,2.515,"Algae, invertebrates, fish eggs","Herbivore, Invertivore",Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5712&what=species&TotRec=7
Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon,leucozonus,Single-bar Devil,Both,5.2,2.076,Algae,Herbivore,Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=5713&what=species&TotRec=10
Actinopterygii,Pecriformes,Serranidae,Plectranthias,nanus,Bownband perchlet,Both,3.2,0.81,Planktons,Invertivore,"Crevices in coastal, lagoons, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=15118&what=species&TotRec=3
Actinopterygii,Pecriformes,Serranidae,Plectranthias,longimanus,Longfin perchlet,Both,2.8,0.82,Planktons,Invertivore,Crevices of reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7322&what=species&TotRec=5
Actinopterygii,Pecriformes,Serranidae,Plectranthias,inermis,Chequered perchlet,Both,4.4,1.24,Planktons,Invertivore,"Steep slopes, seaward reef crevices",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=26735&what=species&TotRec=4
Actinopterygii,Pecriformes,Serranidae,Plectranthias,winniensis,Redblotch basslet,Both,4.3,1.26,Planktons,Invertivore,Outer reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=12799&what=species&TotRec=8
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,chrysotaenia,Yellow-striped sweetlips,Both,25.5,7.79,Unknown,Unknown,"Coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=56810&what=species&TotRec=5
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,multivittatum,Many-lined sweetlips,Both,NA,NA,Unknown,Unknown,Coastal reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=25808&what=species
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,lineatus,Yellowbanded sweetlips,Both,17,5.14,Benthic invertebrates,Invertivore,"Coastal, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=9&ID=6940&what=species&TotRec=14
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,vittatus,Indian Ocean oriental sweetlips,Both,19.3,5.64,Unknown,Unknown,"Coastal reefs, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=10&ID=25706&what=species&TotRec=18
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,lessonii,Lesson's thicklip,Both,6.2,1.61,Unknown,Unknown,"Coastal reefs, lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=50052&what=species&TotRec=6
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,polytaenia,Ribboned sweetlips,Both,38.6,11.45,Invertebrates,Invertivore,"Coastal reefs, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=8316&what=species&TotRec=8
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,flavomaculatus,Lemonfish,Both,19.9,6.43,"Small fishes, invertebrate","Invertivore, piscivore","Shelter coastal reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=5&ID=7625&what=species&TotRec=13
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,albovittatus,Two-striped sweetlips,Both,24.8,7.62,Unknown,Unknown,"Lagoons, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=6362&what=species&TotRec=7
Actinopterygii,Eupercaria,Haemulidae,Plectorhinchus,picus,Painted sweetlip,Both,39.9,11.77,"Crustaceans, molluscs",Invertivore,"Clear outer reefs, lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=5&ID=6370&what=species&TotRec=10
