individual,time,behaviour
20250107_positive-control_5_100,485585.10000000003,Bite
20250107_positive-control_5_100,487920.76666666666,Bite
20250107_positive-control_5_100,489355.5333333334,Bite
20250107_positive-control_5_100,499182.0166666667,Bite
20250107_positive-control_5_100,508374.5333333334,Bite
20250107_positive-control_5_100,510092.9166666667,Bite
20250107_positive-control_5_100,513396.2166666667,Bite
20250107_positive-control_5_100,514247.0666666667,Bite
20250107_positive-control_5_100,523039.1833333333,Bite
20250107_positive-control_5_100,523906.71666666673,Bite
20250109_barracuda_0_101,90690.6,Vigilance
20250109_barracuda_0_102,93576.81666666668,Feeding
20250109_barracuda_0_102,93927.16666666667,Bite
20250109_barracuda_0_102,95995.90000000001,Bite
20250109_barracuda_0_102,96412.98333333334,Bite
20250109_barracuda_0_102,98081.31666666667,Bite
20250109_barracuda_0_102,100533.76666666666,Bite
20250109_barracuda_0_102,101000.9,Bite
20250109_barracuda_0_102,102836.06666666667,Bite
20250109_barracuda_0_102,103953.85,Bite
20250109_barracuda_0_102,105922.48333333334,Bite
20250109_barracuda_0_102,93576.81666666668,Bite
20250109_barracuda_0_102,107390.61666666667,Bite
20250109_barracuda_0_102,109325.88333333333,Bite
20250109_barracuda_0_103,103186.41666666667,Feeding
20250109_barracuda_0_103,104304.20000000001,Bite
20250109_barracuda_0_103,105021.58333333334,Escape from aggression
20250109_barracuda_0_104,104788.01666666668,Conspecific aggression
20250109_barracuda_0_104,108808.7,Moving
20250109_barracuda_0_105,121788.33333333334,Feeding
20250109_barracuda_0_105,121788.33333333334,Bite
20250109_barracuda_0_105,121788.33333333334,Bite
20250109_barracuda_0_105,122505.71666666667,Bite
20250109_barracuda_0_105,122956.16666666667,Bite
20250109_barracuda_0_105,125375.25000000001,Escape from aggression
20250109_barracuda_0_106,122555.76666666668,Feeding
20250109_barracuda_0_106,124023.90000000001,Bite
20250109_barracuda_0_106,127427.3,Bite
20250109_barracuda_0_107,123773.65000000001,Moving
20250109_barracuda_0_108,126376.25000000001,Bite
20250109_barracuda_0_108,126376.25000000001,Moving
20250109_barracuda_0_109,130530.40000000001,Feeding
20250109_barracuda_0_109,130530.40000000001,Bite
20250109_barracuda_0_109,130530.40000000001,Bite
20250109_barracuda_0_109,133750.28333333333,Bite
20250109_barracuda_0_109,134317.51666666666,Bite
20250109_barracuda_0_109,135218.4166666667,Bite
20250109_barracuda_0_109,135985.85,Bite
20250109_barracuda_0_109,137170.36666666667,Bite
20250109_barracuda_0_109,137887.75,Bite
20250109_barracuda_0_109,138471.66666666666,Bite
20250109_barracuda_0_109,140156.68333333335,Bite
20250109_barracuda_0_110,129179.05000000002,Vigilance
20250109_barracuda_0_110,132682.55000000002,Conspecific aggression
20250109_barracuda_0_110,134634.5,Conspecific aggression
20250109_barracuda_0_110,136402.93333333335,Conspecific aggression
20250109_barracuda_0_110,139305.83333333334,Conspecific aggression
20250109_barracuda_0_110,140373.56666666668,Conspecific aggression
20250109_barracuda_0_110,140356.88333333333,Conspecific aggression
20250109_barracuda_0_110,146162.68333333335,Conspecific aggression
20250109_barracuda_0_111,132715.9166666667,Feeding
20250109_barracuda_0_111,136136.0,Bite
20250109_barracuda_0_111,136970.16666666666,Bite
20250109_barracuda_0_111,137804.33333333334,Bite
20250109_barracuda_0_111,138221.41666666666,Bite
20250109_barracuda_0_111,139539.4,Bite
20250109_barracuda_0_111,139973.1666666667,Bite
20250109_barracuda_0_111,140557.08333333334,Bite
20250109_barracuda_0_111,140924.11666666667,Bite
20250109_barracuda_0_111,141708.23333333334,Bite
20250109_barracuda_0_111,142158.68333333332,Bite
20250109_barracuda_0_111,142642.5,Bite
20250109_barracuda_0_111,143293.15,Bite
20250109_barracuda_1_112,61394.66666666667,Feeding
20250109_barracuda_1_112,61394.66666666667,Bite
20250109_barracuda_1_112,61394.66666666667,Bite
20250109_barracuda_1_112,62695.96666666667,Bite
20250109_barracuda_1_112,63797.06666666667,Bite
20250109_barracuda_1_112,65265.200000000004,Bite
20250109_barracuda_1_113,88772.01666666668,Vigilance
20250109_barracuda_1_113,88772.01666666668,Moving
20250109_barracuda_2_114,320403.4166666667,Feeding
20250109_barracuda_2_114,320403.4166666667,Bite
20250109_barracuda_2_114,320403.4166666667,Bite
20250109_barracuda_2_115,326759.76666666666,Feeding
20250109_barracuda_2_115,332865.8666666667,Bite
20250109_barracuda_2_115,334117.1166666667,Bite
20250109_barracuda_2_115,68468.40000000001,Escape from predator
20250109_barracuda_2_115,68468.40000000001,Feeding
20250109_barracuda_2_115,68468.40000000001,Bite
20250109_barracuda_2_115,68468.40000000001,Escape from aggression
20250109_barracuda_2_115,68468.40000000001,Moving
20250109_grouper_0_116,67200.46666666667,Feeding
20250109_grouper_0_116,70703.96666666667,Bite
20250109_grouper_0_116,72205.46666666666,Bite
20250109_grouper_0_116,77644.23333333334,Bite
20250109_grouper_0_116,78511.76666666668,Bite
20250109_grouper_0_116,81281.2,Bite
20250109_grouper_0_116,84017.26666666668,Bite
20250109_grouper_1_117,309942.9666666667,Feeding
20250109_grouper_1_117,312145.1666666667,Bite
20250109_grouper_1_117,313946.9666666667,Bite
20250109_grouper_1_117,315948.96666666673,Bite
20250109_grouper_1_117,317817.5,Bite
20250109_grouper_1_117,321354.3666666667,Bite
20250109_grouper_1_117,322989.3333333334,Bite
20250109_grouper_1_117,309942.9666666667,Bite
20250109_grouper_1_118,311110.80000000005,Feeding
20250109_grouper_1_118,312145.1666666667,Bite
20250109_grouper_1_118,313780.13333333336,Bite
20250109_grouper_1_118,315948.96666666673,Bite
20250109_grouper_1_118,318084.43333333335,Bite
20250109_grouper_1_118,322021.7,Bite
20250109_grouper_1_118,322855.86666666664,Bite
20250109_grouper_1_118,327460.4666666667,Bite
20250109_grouper_1_119,314013.7,Feeding
20250109_grouper_1_119,314547.5666666667,Bite
20250109_grouper_1_119,315114.8,Bite
20250109_grouper_1_119,319152.1666666667,Bite
20250109_grouper_1_119,327777.45,Bite
20250109_grouper_2_120,179195.68333333335,Feeding
20250109_grouper_2_120,185852.33333333334,Bite
20250109_grouper_2_120,186719.8666666667,Bite
20250109_grouper_2_121,180947.43333333335,Feeding
20250109_negative-control_0_122,192075.21666666667,Feeding
20250109_negative-control_0_122,193810.28333333333,Bite
20250109_negative-control_0_122,194744.55000000002,Bite
20250109_negative-control_0_122,198548.35,Vigilance
20250109_negative-control_1_123,387203.48333333334,Moving
20250109_negative-control_2_124,187120.2666666667,Feeding
20250109_negative-control_2_124,189772.9166666667,Bite
20250109_negative-control_5_125,343626.6166666667,Moving
20250109_negative-control_5_126,346295.95,Feeding
